objectid,title,date,album,description,location,latitude,longitude,source,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,file_name
prdm0029,Bottom Below,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/bottom-below,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0030,Might of the Moose (Advance Base Cover),2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/might-of-the-moose-advanced-base-cover,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0031,Troubles,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/might-of-the-moose-advanced-base-cover,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0032,Sneer Review,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/sneer-review,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0033,Earn,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/earn,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0034,Road Closed Ahead,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/road-closed-ahead,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0035,Flat Out,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/flat-out,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0036,Keep Breathin',2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/keep-breathin,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0037,Worst Part,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/worst-part,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0038,Carol's Complications,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,record,https://punkrockdrummachine.bandcamp.com/track/carols-complications,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0039,1 Meg,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/1Meg.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0040,2 Chords Beat as One,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/2ChordsBeatasOne.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0041,7 Sorry Albums,2007,Punk Rock Drum Machine,,"Normal Heights, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/7SorryAlbums.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0042,A Very Inconvenient Song,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/A-VeryInconvenientSong.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0043,A Stranger Day,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/AStrangerDay.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0044,Apartment Cover,2011,Apartment; Metacholy,,"Mission Valley, San Diego, CA",32.77588308,-117.1384229,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/ApartmentCover.jpg,/objects/small/ApartmentCover_sm.jpg,/objects/thumbs/ApartmentCover_th.jpg,,ApartmentCover
prdm0045,Bad Elf,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/BadElf.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,/objects/small/_sm.jpg,prdm-shirt
prdm0046,Be Pacific,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/BePacific.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,/objects/small/_sm.jpg,prdm-shirt
prdm0047,Bus Stop 85,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/BusStop85.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,/objects/small/_sm.jpg,prdm-shirt
prdm0048,Cache Cow Album Cover,2023,Cache Cow,,"Allied Gardens, San Diego, CA",32.75900712,-117.1153669,Punk Rock Drum Machine Messy Digital Archive,Image;StillImage,image/jpeg,eng,image,/objects/CacheCowAlbumCover.jpg,/objects/small/CacheCowAlbumCover_sm.jpg,/objects/thumbs/CacheCowAlbumCover_th.jpg,,CacheCowAlbumCover
prdm0049,DIY or DIE,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/DIYorDIE.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,/objects/small/_sm.jpg,prdm-shirt
prdm0050,Enids Weekend,2011,Apartment; Metacholy,,"Mission Valley, San Diego, CA",32.77588308,-117.1384229,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/EnidsWeekend.mp3,/objects/small/ApartmentCover_sm.jpg,/objects/thumbs/ApartmentCover_th.jpg,,ApartmentCover
prdm0051,Generation-Hexed,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Generation-Hexed.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0052,Hopelessly,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Hopelessly.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0053,I Feel You Sam,2011,Apartment; Metacholy,,"Mission Valley, San Diego, CA",32.77588308,-117.1384229,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/IFeelYouSam.mp3,/objects/small/ApartmentCover_sm.jpg,/objects/thumbs/ApartmentCover_th.jpg,,ApartmentCover
prdm0054,Louises Blues,2011,Apartment; Metacholy,,"Mission Valley, San Diego, CA",32.77588308,-117.1384229,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/LouisesBlues.mp3,/objects/small/ApartmentCover_sm.jpg,/objects/thumbs/ApartmentCover_th.jpg,,ApartmentCover
prdm0055,Make it Better,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Make-it-Better.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0056,MikeIsABastard,2011,Apartment; Metacholy,,"Mission Valley, San Diego, CA",32.77588308,-117.1384229,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/MikeIsABastard.mp3,/objects/small/ApartmentCover_sm.jpg,/objects/thumbs/ApartmentCover_th.jpg,,ApartmentCover
prdm0057,Money-is-Shot,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/Money-is-Shot.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0058,Not So Close to Me,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/NotSoClosetoMe.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0059,Ooo EP Cover,2011,Ooo,,"La Mesa, CA","32.78909215832819, -117.00899806408563",,,Audio,audio/mp3,eng,audio,/objects/Ooo-cover.gif,/objects/Ooo-cover.gif,/objects/Ooo-cover.gif,,Ooo-cover
prdm0060,PRDM WAV Poster,2010,WAV,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/PRDM-WAV-poster.jpg,/objects/small/PRDM-WAV-poster_sm.jpg,/objects/thumbs/PRDM-WAV-poster_th.jpg,,PRDM-WAV-poster
prdm0061,PRDM Wave Cartoon,2010,WAV,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/PRDM-Wave-Cartoon.png,/objects/small/PRDM-Wave-Cartoon_sm.jpg,/objects/thumbs/PRDM-Wave-Cartoon_th.jpg,,PRDM-Wave-Cartoon
prdm0062,PRDM Photo,2010,WAV,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/PRDM-photo.jpg,/objects/small/PRDM-photo_sm.jpg,/objects/thumbs/PRDM-photo_th.jpg,,PRDM-photo
prdm0063,Protest Song for Anyone to Sing,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/ProtestSongforAnyone-toSing.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0064,Sand Castles,2011,Ooo; Metacholy,,"La Mesa, CA","32.78909215832819, -117.00899806408563",,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/SandCastles.mp3,/objects/Ooo-cover.gif,/objects/Ooo-cover.gif,,Ooo-cover
prdm0065,Sandy Described Futility,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/SandyDescribedFutility.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0066,Snow Day,2007,Login,,"St. Charles, MO",,,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/SnowDay.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
prdm0067,Sydney Can't Wait,2011,Ooo; Metacholy,,"La Mesa, CA","32.78909215832819, -117.00899806408563",,,Audio,audio/mp3,eng,audio,/objects/SydneyCantWait.mp3,/objects/Ooo-cover.gif,/objects/Ooo-cover.gif,,Ooo-cover
prdm0068,Temperatures Rising,2007,Login,,"St. Charles, MO",38.73897401,-90.53661751,Punk Rock Drum Machine Messy Digital Archive,Audio,audio/mp3,eng,audio,/objects/TemperaturesRising.mp3,/objects/small/prdm-shirt_sm.jpg,/objects/thumbs/prdm-shirt_th.jpg,,prdm-shirt
